City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,termas de rio hondo,-27.4998,-64.8604,21.75,44,0,1.39,AR,1691166914
246,lautoka,-17.6167,177.4667,20.92,78,100,3.09,FJ,1691166914
247,adam,22.3756,57.5233,37.21,31,100,4.06,OM,1691166914
248,sorokino,53.75,84.9167,18.69,90,98,1.99,RU,1691166916
249,south hedland,-20.4089,118.5983,21.96,64,2,2.06,AU,1691166916
250,mount pearl,47.5166,-52.7813,21.92,66,20,4.12,CA,1691166916
251,zhangye,38.9342,100.4517,25.85,34,44,4.17,CN,1691166916
252,olonkinbyen,70.9221,-8.7187,3.65,92,100,10.68,SJ,1691166917
253,kittila,67.6647,24.8936,20.08,73,20,0.51,FI,1691166917
254,zest'aponi,42.11,43.0525,23.06,94,16,0.88,GE,1691166917
255,luderitz,-26.6481,15.1594,14.1,72,2,1.45,NA,1691166918
256,burutu,5.3509,5.5076,26.55,77,78,5.33,NG,1691166918
257,katabu,-4.9333,122.5167,23.93,90,7,2.4,ID,1691166919
258,coquimbo,-29.9533,-71.3436,14.85,82,100,1.54,CL,1691166919
259,hadibu,12.65,54.0333,26.2,74,99,8.21,YE,1691166919
260,aral,40.5156,81.2636,33.77,18,33,2.04,CN,1691166919
261,qarqaraly,49.4058,75.4742,19.91,56,76,2.55,KZ,1691166920
262,keflavik,64.0049,-22.5624,13.95,76,75,3.09,IS,1691166920
263,san julian,21.0167,-102.1667,22.07,55,100,4.21,MX,1691166920
264,dalbandin,28.8947,64.4101,35.2,7,19,2.37,PK,1691166921
265,nagqu,31.5,92.0,7.94,89,100,1.81,CN,1691166921
266,pimenta bueno,-11.6725,-61.1936,39.53,15,0,0.15,BR,1691166921
267,codrington,-38.2667,141.9667,10.74,59,95,7.67,AU,1691166921
268,tidjikja,18.5564,-11.4271,43.02,7,40,3.12,MR,1691166923
269,juan de acosta,10.8281,-75.0334,32.77,53,2,3.31,CO,1691166923
270,mahina,-17.5065,-149.489,21.87,83,20,2.06,PF,1691166923
271,luorong,24.4058,109.6086,26.5,92,77,1.42,CN,1691166923
272,lala,7.9745,123.7458,24.58,97,73,0.2,PH,1691166924
273,emerald,-23.5333,148.1667,13.39,71,0,3.51,AU,1691166924
274,newman,37.3138,-121.0208,23.19,36,0,1.53,US,1691166924
275,poxoreo,-15.8372,-54.3892,36.09,14,53,2.42,BR,1691166924
276,boromo,11.75,-2.9333,35.68,37,44,4.78,BF,1691166924
277,benghazi,32.1167,20.0667,28.83,67,0,5.67,LY,1691166748
278,floro,61.5996,5.0328,15.04,72,40,9.26,NO,1691166925
279,hobyo,5.3505,48.5268,25.43,81,48,12.86,SO,1691166925
280,suhbaatar,50.2314,106.2078,16.72,89,96,1.78,MN,1691166925
281,pangai,-19.8,-174.35,22.39,68,100,12.28,TO,1691166926
282,bure,10.7,37.0667,15.19,93,99,1.35,ET,1691166926
283,jiazi,22.8779,116.067,29.43,80,65,7.66,CN,1691166927
284,schweizer-reneke,-27.1887,25.3293,9.47,48,88,1.38,ZA,1691166927
285,kaohsiung,22.6163,120.3133,29.46,86,75,2.24,TW,1691166920
286,la sarre,48.8002,-79.1996,21.28,45,29,5.27,CA,1691166889
287,kichmengskiy gorodok,59.9816,45.7854,20.28,81,71,2.56,RU,1691166928
288,souillac,-20.5167,57.5167,21.21,94,75,7.2,MU,1691166928
289,cockburn town,21.4612,-71.1419,30.98,66,40,4.63,TC,1691166928
290,constantia,44.1833,28.65,27.61,75,0,4.84,RO,1691166929
291,luuq,3.7938,42.5445,30.4,38,92,8.0,SO,1691166929
292,fort st. john,56.2499,-120.8529,14.94,82,40,3.09,CA,1691166929
293,northam,51.0333,-4.2167,16.48,82,100,4.41,GB,1691166930
294,bikenibeu village,1.3673,173.1241,26.98,89,75,0.51,KI,1691166930
295,darhan,49.4867,105.9228,18.33,79,100,1.07,MN,1691166930
296,anadyr,64.75,177.4833,10.28,87,75,5.81,RU,1691166932
297,tinghir,31.5157,-5.5343,37.8,7,0,5.99,MA,1691166932
298,dongola,19.1667,30.4833,39.66,22,14,3.6,SD,1691166932
299,moyale,3.5167,39.0584,23.89,43,99,5.17,KE,1691166933
300,quang ngai,15.1167,108.8,26.73,73,100,2.8,VN,1691166933
301,kamaishi,39.2667,141.8833,25.2,80,0,2.13,JP,1691166934
302,enewetak,11.3474,162.3373,28.09,78,80,5.27,MH,1691166934
303,bugul'ma,54.55,52.8,21.32,68,40,1.0,RU,1691166935
304,nadi,-17.8,177.4167,21.0,78,100,3.09,FJ,1691166664
305,kazaure,12.6513,8.4162,33.81,41,73,1.47,NG,1691166935
306,bel ombre,-4.6167,55.4167,25.91,78,40,7.2,SC,1691166935
307,kievka,50.2619,71.5514,21.57,56,31,0.98,KZ,1691166935
308,tadine,-21.55,167.8833,18.58,91,100,11.29,NC,1691166936
309,luga,58.7372,29.8453,21.12,67,59,4.12,RU,1691166683
310,illizi,26.4833,8.4667,43.89,8,0,7.68,DZ,1691166936
311,rabaul,-4.1967,152.1721,25.88,81,100,5.69,PG,1691166936
312,mahibadhoo,3.7833,72.9667,28.17,74,80,3.24,MV,1691166936
313,i-n-salah,27.1935,2.4607,46.65,6,0,6.0,DZ,1691166937
314,alpine,32.835,-116.7664,27.42,59,0,0.0,US,1691166937
315,sinabang,2.4803,96.3801,27.06,78,100,0.59,ID,1691166938
316,sao gabriel da cachoeira,-0.1303,-67.0892,29.89,70,40,2.06,BR,1691166934
317,inhambane,-23.865,35.3833,19.99,88,75,3.09,MZ,1691166938
318,esmeraldas,-19.7625,-44.3139,28.17,14,0,2.53,BR,1691166732
319,howrah,22.5892,88.3103,30.0,79,75,4.12,IN,1691166938
320,kristiansund,63.1115,7.732,15.03,88,75,2.57,NO,1691166939
321,usogorsk,63.4106,48.6872,22.09,60,95,2.24,RU,1691166939
322,beyneu,45.3167,55.2,33.76,22,9,7.41,KZ,1691166939
323,hafar al-batin,28.4328,45.9708,42.32,9,0,3.09,SA,1691166939
324,chernomorskoye,45.5039,32.6997,25.38,71,0,1.65,UA,1691166940
325,veraval,20.9,70.3667,26.96,88,100,7.79,IN,1691166940
326,jiwani,25.05,61.7417,27.59,84,92,3.89,PK,1691166941
327,road town,18.4167,-64.6167,31.05,84,40,5.14,VG,1691166941
328,el calafate,-50.3408,-72.2768,2.97,73,1,5.03,AR,1691166928
329,altay,47.8667,88.1167,19.45,42,1,2.78,CN,1691166941
330,den burg,53.0542,4.7972,19.98,78,40,5.14,NL,1691166941
331,ar rutbah,33.0381,40.2848,34.85,18,0,4.23,IQ,1691166942
332,afaahiti,-17.75,-149.2833,20.93,79,27,5.62,PF,1691166942
333,al burayqah,30.4062,19.5739,28.86,63,0,5.51,LY,1691166942
334,kurtamysh,54.9103,64.4319,22.3,58,60,2.54,RU,1691166942
335,pangoa,-12.1167,-73.0,31.28,36,15,2.21,PE,1691166943
336,baruun-urt,46.6806,113.2792,10.65,91,25,4.07,MN,1691166943
337,castillos,-34.1667,-53.8333,16.11,54,73,1.49,UY,1691166943
338,buala,-8.145,159.5921,25.6,88,91,3.73,SB,1691166943
339,acarau,-2.8856,-40.12,31.0,54,16,8.12,BR,1691166645
340,sant lluis,39.8526,4.2594,24.22,53,20,7.2,ES,1691166943
341,poli,-3.3333,36.8,19.15,63,75,5.14,TZ,1691166944
342,yigo village,13.5361,144.8886,27.4,87,100,2.06,GU,1691166945
343,fortuna,40.5982,-124.1573,16.19,94,75,1.54,US,1691166945
344,sao jose da coroa grande,-8.8978,-35.1478,26.34,56,8,4.3,BR,1691166945
345,cidade velha,14.9167,-23.6167,29.26,74,20,4.63,CV,1691166945
346,vermillion,42.7794,-96.9292,28.22,62,100,3.93,US,1691166946
347,navia,43.5354,-6.7194,19.98,62,6,2.69,ES,1691166946
348,caala,-12.8525,15.5606,24.74,22,2,1.61,AO,1691166946
349,chinde,26.8418,88.0763,19.21,91,100,1.16,NP,1691166946
350,port shepstone,-30.7414,30.455,18.79,54,98,3.57,ZA,1691166946
351,manokwari,-0.8667,134.0833,25.93,75,100,3.41,ID,1691166947
352,hamilton,39.1834,-84.5333,31.45,55,0,1.34,US,1691166631
353,yorkton,51.2167,-102.4677,23.91,64,20,5.14,CA,1691166947
354,tonacatepeque,13.7811,-89.1186,29.27,71,0,1.54,SV,1691166948
355,cartagena,10.3997,-75.5144,31.79,74,20,6.17,CO,1691166728
356,bogale,16.2833,95.4,26.02,90,76,3.58,MM,1691166948
357,kruisfontein,-34.0033,24.7314,19.38,73,70,2.33,ZA,1691166948
358,al fuwayliq,26.4432,43.2534,35.12,11,0,4.94,SA,1691166949
359,st. john's,47.5649,-52.7093,22.6,67,20,4.12,CA,1691166772
360,juan griego,11.0817,-63.9655,31.11,56,0,3.68,VE,1691166949
361,taoudenni,22.6783,-3.9836,48.44,6,9,4.59,ML,1691166949
362,margate,51.3813,1.3862,18.16,87,22,0.45,GB,1691166637
363,shalqar,47.8333,59.6,30.95,29,99,0.39,KZ,1691166950
364,sydney mines,46.2367,-60.2177,24.16,57,75,6.69,CA,1691166950
365,nova vicosa,-17.8919,-39.3719,25.99,62,5,3.69,BR,1691166950
366,tralee,52.2704,-9.7026,15.14,77,75,4.63,IE,1691166952
367,saldanha,-33.0117,17.9442,14.03,86,0,3.31,ZA,1691166952
368,cill airne,52.05,-9.5167,15.03,77,75,4.63,IE,1691166952
369,brandon,27.9378,-82.2859,34.58,69,0,2.57,US,1691166952
370,cambria,35.5641,-121.0808,20.9,58,0,4.14,US,1691166952
371,prince rupert,54.3161,-130.3201,17.05,85,0,1.54,CA,1691166909
372,mafinga,-7.25,35.0667,22.72,39,50,5.29,TZ,1691166953
373,laguna,38.421,-121.4238,26.16,69,0,2.57,US,1691166953
374,vernon,50.2581,-119.2691,22.39,36,0,1.54,CA,1691166716
375,namibe,-15.1961,12.1522,18.5,77,6,4.45,AO,1691166752
376,airuk,7.2772,168.8203,28.42,77,75,5.47,MH,1691166954
377,oranjemund,-28.55,16.4333,13.44,82,2,1.73,NA,1691166954
378,alaghsas,17.0187,8.0168,37.94,39,20,4.63,NE,1691166806
379,petauke,-14.2426,31.3253,18.17,39,0,2.74,ZM,1691166954
380,kargopol',61.5071,38.9456,17.65,96,99,2.26,RU,1691166954
381,el bauga,18.262,33.9081,35.68,32,16,5.58,SD,1691166955
382,reggane,26.7158,0.1714,47.97,5,1,2.56,DZ,1691166955
